group,display_name,mse,count,latency_mean,latency_std,operation_type,data_size_display,number_of_operations,data_size
GET_5GB_51200,"operation_type=GET, data_size=5GB, number_of_operations=51200",46.12,236822,7.80,1.35,GET,5GB,51200,5368709120
GET_1GB_6400,"operation_type=GET, data_size=1GB, number_of_operations=6400",46.02,29031,7.76,1.49,GET,1GB,6400,1073741824
GET_500MB_6400,"operation_type=GET, data_size=500MB, number_of_operations=6400",39.18,29648,7.24,1.43,GET,500MB,6400,524288000
GET_2GB_409600,"operation_type=GET, data_size=2GB, number_of_operations=409600",37.66,1713285,7.22,0.82,GET,2GB,409600,2147483648
GET_5GB_409600,"operation_type=GET, data_size=5GB, number_of_operations=409600",36.99,1740526,7.18,0.75,GET,5GB,409600,5368709120
GET_200MB_51200,"operation_type=GET, data_size=200MB, number_of_operations=51200",36.88,239882,7.01,1.56,GET,200MB,51200,209715200
GET_200MB_6400,"operation_type=GET, data_size=200MB, number_of_operations=6400",36.63,24036,7.15,0.71,GET,200MB,6400,209715200
GET_1GB_51200,"operation_type=GET, data_size=1GB, number_of_operations=51200",36.06,238281,6.94,1.55,GET,1GB,51200,1073741824
GET_1GB_800,"operation_type=GET, data_size=1GB, number_of_operations=800",33.58,3733,6.81,1.23,GET,1GB,800,1073741824
GET_500MB_51200,"operation_type=GET, data_size=500MB, number_of_operations=51200",28.18,196318,6.40,0.72,GET,500MB,51200,524288000
GET_100MB_100,"operation_type=GET, data_size=100MB, number_of_operations=100",26.50,469,6.16,1.16,GET,100MB,100,104857600
SEEK_100MB_800,"operation_type=SEEK, data_size=100MB, number_of_operations=800",26.36,3876,6.14,1.16,SEEK,100MB,800,104857600
GET_1GB_409600,"operation_type=GET, data_size=1GB, number_of_operations=409600",25.87,1718042,6.17,0.77,GET,1GB,409600,1073741824
SEEK_100MB_100,"operation_type=SEEK, data_size=100MB, number_of_operations=100",25.53,477,5.97,1.49,SEEK,100MB,100,104857600
SEEK_100MB_6400,"operation_type=SEEK, data_size=100MB, number_of_operations=6400",23.91,31359,5.89,1.15,SEEK,100MB,6400,104857600
SEEK_100MB_51200,"operation_type=SEEK, data_size=100MB, number_of_operations=51200",23.60,178521,6.00,0.00,SEEK,100MB,51200,104857600
GET_500MB_409600,"operation_type=GET, data_size=500MB, number_of_operations=409600",22.23,1813437,5.80,0.71,GET,500MB,409600,524288000
GET_200MB_409600,"operation_type=GET, data_size=200MB, number_of_operations=409600",21.74,1784396,5.73,0.81,GET,200MB,409600,209715200
GET_100MB_800,"operation_type=GET, data_size=100MB, number_of_operations=800",18.89,3671,5.45,0.60,GET,100MB,800,104857600
GET_100MB_6400,"operation_type=GET, data_size=100MB, number_of_operations=6400",17.88,25985,5.32,0.66,GET,100MB,6400,104857600
SEEK_500MB_409600,"operation_type=SEEK, data_size=500MB, number_of_operations=409600",17.51,1852218,5.01,1.60,SEEK,500MB,409600,524288000
SEEK_100MB_409600,"operation_type=SEEK, data_size=100MB, number_of_operations=409600",17.14,1795773,5.20,0.83,SEEK,100MB,409600,104857600
SEEK_1GB_409600,"operation_type=SEEK, data_size=1GB, number_of_operations=409600",15.99,1508011,5.08,0.67,SEEK,1GB,409600,1073741824
PUT_200MB_409600,"operation_type=PUT, data_size=200MB, number_of_operations=409600",14.88,1435918,5.00,0.00,PUT,200MB,409600,209715200
PUT_200MB_100,"operation_type=PUT, data_size=200MB, number_of_operations=100",14.88,341,5.00,0.00,PUT,200MB,100,209715200
PUT_200MB_800,"operation_type=PUT, data_size=200MB, number_of_operations=800",14.88,2700,5.00,0.00,PUT,200MB,800,209715200
PUT_200MB_6400,"operation_type=PUT, data_size=200MB, number_of_operations=6400",14.88,21089,5.00,0.00,PUT,200MB,6400,209715200
PUT_2GB_100,"operation_type=PUT, data_size=2GB, number_of_operations=100",14.88,273,5.00,0.00,PUT,2GB,100,2147483648
PUT_2GB_800,"operation_type=PUT, data_size=2GB, number_of_operations=800",14.88,2186,5.00,0.00,PUT,2GB,800,2147483648
PUT_200MB_51200,"operation_type=PUT, data_size=200MB, number_of_operations=51200",14.88,171565,5.00,0.00,PUT,200MB,51200,209715200
PUT_2GB_409600,"operation_type=PUT, data_size=2GB, number_of_operations=409600",13.77,1827976,4.81,0.59,PUT,2GB,409600,2147483648
PUT_2GB_51200,"operation_type=PUT, data_size=2GB, number_of_operations=51200",13.64,229040,4.79,0.60,PUT,2GB,51200,2147483648
PUT_2GB_6400,"operation_type=PUT, data_size=2GB, number_of_operations=6400",13.53,28607,4.77,0.60,PUT,2GB,6400,2147483648
PUT_10GB_409600,"operation_type=PUT, data_size=10GB, number_of_operations=409600",13.46,1810458,4.76,0.61,PUT,10GB,409600,10737418240
PUT_500MB_6400,"operation_type=PUT, data_size=500MB, number_of_operations=6400",13.41,28949,4.75,0.60,PUT,500MB,6400,524288000
GET_100MB_51200,"operation_type=GET, data_size=100MB, number_of_operations=51200",13.36,233273,4.65,1.01,GET,100MB,51200,104857600
GET_100MB_409600,"operation_type=GET, data_size=100MB, number_of_operations=409600",13.07,1897257,4.61,1.02,GET,100MB,409600,104857600
PUT_500MB_409600,"operation_type=PUT, data_size=500MB, number_of_operations=409600",13.00,1850869,4.70,0.60,PUT,500MB,409600,524288000
PUT_500MB_800,"operation_type=PUT, data_size=500MB, number_of_operations=800",12.94,3606,4.69,0.62,PUT,500MB,800,524288000
PUT_500MB_51200,"operation_type=PUT, data_size=500MB, number_of_operations=51200",12.78,231100,4.66,0.62,PUT,500MB,51200,524288000
PUT_10GB_51200,"operation_type=PUT, data_size=10GB, number_of_operations=51200",12.70,227566,4.65,0.64,PUT,10GB,51200,10737418240
PUT_500MB_100,"operation_type=PUT, data_size=500MB, number_of_operations=100",12.70,459,4.66,0.60,PUT,500MB,100,524288000
PUT_10GB_6400,"operation_type=PUT, data_size=10GB, number_of_operations=6400",12.46,28550,4.61,0.64,PUT,10GB,6400,10737418240
PUT_10GB_800,"operation_type=PUT, data_size=10GB, number_of_operations=800",12.03,3569,4.55,0.64,PUT,10GB,800,10737418240
PUT_5GB_6400,"operation_type=PUT, data_size=5GB, number_of_operations=6400",12.02,28584,4.55,0.64,PUT,5GB,6400,5368709120
PUT_5GB_51200,"operation_type=PUT, data_size=5GB, number_of_operations=51200",11.95,228286,4.54,0.63,PUT,5GB,51200,5368709120
PUT_5GB_409600,"operation_type=PUT, data_size=5GB, number_of_operations=409600",11.87,1831745,4.53,0.63,PUT,5GB,409600,5368709120
PUT_5GB_100,"operation_type=PUT, data_size=5GB, number_of_operations=100",11.71,448,4.51,0.62,PUT,5GB,100,5368709120
PUT_10GB_100,"operation_type=PUT, data_size=10GB, number_of_operations=100",11.67,459,4.50,0.64,PUT,10GB,100,10737418240
PUT_5GB_800,"operation_type=PUT, data_size=5GB, number_of_operations=800",11.23,3594,4.43,0.62,PUT,5GB,800,5368709120
PUT_100MB_409600,"operation_type=PUT, data_size=100MB, number_of_operations=409600",10.29,1921335,4.31,0.52,PUT,100MB,409600,104857600
PUT_1GB_100,"operation_type=PUT, data_size=1GB, number_of_operations=100",10.18,458,4.28,0.57,PUT,1GB,100,1073741824
PUT_1GB_51200,"operation_type=PUT, data_size=1GB, number_of_operations=51200",10.09,235511,4.27,0.55,PUT,1GB,51200,1073741824
PUT_1GB_409600,"operation_type=PUT, data_size=1GB, number_of_operations=409600",10.07,1875072,4.27,0.55,PUT,1GB,409600,1073741824
PUT_1GB_6400,"operation_type=PUT, data_size=1GB, number_of_operations=6400",10.02,29350,4.26,0.55,PUT,1GB,6400,1073741824
PUT_100MB_100,"operation_type=PUT, data_size=100MB, number_of_operations=100",10.01,468,4.26,0.53,PUT,100MB,100,104857600
PUT_1GB_800,"operation_type=PUT, data_size=1GB, number_of_operations=800",9.95,3667,4.25,0.53,PUT,1GB,800,1073741824
PUT_100MB_800,"operation_type=PUT, data_size=100MB, number_of_operations=800",9.79,3748,4.23,0.49,PUT,100MB,800,104857600
PUT_100MB_51200,"operation_type=PUT, data_size=100MB, number_of_operations=51200",8.17,196574,4.00,0.00,PUT,100MB,51200,104857600
PUT_100MB_6400,"operation_type=PUT, data_size=100MB, number_of_operations=6400",8.17,24040,4.00,0.00,PUT,100MB,6400,104857600
